what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.team.ui,3.5.100.I20100527-0800,"org.eclipse.team.ui",1530386403811
started,bundle,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui",1530386403811
started,bundle,org.eclipse.ui.console,3.5.0.v20100526,"org.eclipse.ui.console",1530386403811
started,bundle,org.eclipse.ui.editors,3.6.0.v20100520-0800,"org.eclipse.ui.editors",1530386403811
started,bundle,org.eclipse.ui.ide,3.6.0.I20100601-0800,"org.eclipse.ui.ide",1530386403811
started,bundle,org.eclipse.ui.navigator,3.5.0.I20100601-0800,"org.eclipse.ui.navigator",1530386403811
started,bundle,org.eclipse.ui.navigator.resources,3.4.200.I20100601-0800,"org.eclipse.ui.navigator.resources",1530386403811
started,bundle,org.eclipse.ui.net,1.2.100.I20100505-1245,"org.eclipse.ui.net",1530386403811
started,bundle,org.eclipse.ui.views,3.5.0.I20100527-0800,"org.eclipse.ui.views",1530386403811
started,bundle,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"org.eclipse.ui.workbench",1530386403811
started,bundle,org.eclipse.ui.workbench.texteditor,3.6.0.v20100520-0800,"org.eclipse.ui.workbench.texteditor",1530386403811
started,bundle,org.eclipse.update.configurator,3.3.100.v20100512,"org.eclipse.update.configurator",1530386403812
started,bundle,org.eclipse.wst.common.emf,1.2.0.v201005200700,"org.eclipse.wst.common.emf",1530386403813
started,bundle,org.eclipse.wst.common.emfworkbench.integration,1.2.0.v201004110600,"org.eclipse.wst.common.emfworkbench.integration",1530386403813
started,bundle,org.eclipse.wst.common.frameworks,1.2.0.v201003040800,"org.eclipse.wst.common.frameworks",1530386403813
started,bundle,org.eclipse.wst.common.project.facet.core,1.4.100.v201005190114,"org.eclipse.wst.common.project.facet.core",1530386403813
started,bundle,org.eclipse.wst.jsdt.core,1.1.0.v201006030738,"org.eclipse.wst.jsdt.core",1530386403813
started,bundle,org.eclipse.wst.jsdt.manipulation,1.0.200.v201004150600,"org.eclipse.wst.jsdt.manipulation",1530386403813
started,bundle,org.eclipse.wst.jsdt.ui,1.1.0.v201005200157,"org.eclipse.wst.jsdt.ui",1530386403813
started,bundle,org.eclipse.wst.web,1.1.400.v201005270700,"org.eclipse.wst.web",1530386403813
os,sysinfo,,,"win32",1530386403826
arch,sysinfo,,,"x86_64",1530386403826
ws,sysinfo,,,"win32",1530386403826
locale,sysinfo,,,"en_US",1530386403826
processors,sysinfo,,,"4",1530386403826
java.runtime.name,sysinfo,,,"Java(TM) SE Runtime Environment",1530386403826
java.runtime.version,sysinfo,,,"1.8.0_161-b12",1530386403826
java.specification.name,sysinfo,,,"Java Platform API Specification",1530386403826
java.specification.vendor,sysinfo,,,"Oracle Corporation",1530386403826
java.specification.version,sysinfo,,,"1.8",1530386403826
java.vendor,sysinfo,,,"Oracle Corporation",1530386403826
java.version,sysinfo,,,"1.8.0_161",1530386403826
java.vm.info,sysinfo,,,"mixed mode",1530386403827
java.vm.name,sysinfo,,,"Java HotSpot(TM) 64-Bit Server VM",1530386403827
